"frame_idx ""video"" ""phase"" ""fly"" ""x"" ""y"" ""fly_prev"" ""x_prev"" ""y_prev"" ""dist"" ""mutilple_matches"" ""different_match"""
"31097 ""TC_Grp_3_f_18"" 18 ""0"" 321 47 ""1"" 319 47 2 1 1"
"31098 ""TC_Grp_3_f_18"" 18 ""0"" 319 45 ""1"" 319 46 1 0 1"
"31099 ""TC_Grp_3_f_18"" 18 ""0"" 318 44 ""1"" 317 44 1 0 1"
"31101 ""TC_Grp_3_f_18"" 18 ""0"" 317 46 ""1"" 316 46 1 0 1"
"31103 ""TC_Grp_3_f_18"" 18 ""0"" 19 230 ""1"" 13 228 6.32455532033676 0 1"
"31107 ""TC_Grp_3_f_18"" 18 ""0"" 298 59 ""2"" 311 54 13.9283882771841 0 1"
"31130 ""TC_Grp_3_f_18"" 18 ""0"" 213 106 ""1"" 248 69 50.9313263129874 0 1"
"31243 ""TC_Grp_3_f_18"" 18 ""0"" 462 115 ""1"" 499 151 51.6236379965612 0 1"
"31253 ""TC_Grp_3_f_18"" 18 ""0"" 701 54 ""2"" 701 51 3 0 1"
"31302 ""TC_Grp_3_f_18"" 18 ""0"" 700 125 ""1"" 700 111 14 0 1"
"31314 ""TC_Grp_3_f_18"" 18 ""0"" 700 126 ""1"" 700 112 14 0 1"
"31334 ""TC_Grp_3_f_18"" 18 ""0"" 676 197 ""1"" 681 184 13.9283882771841 0 1"
"31349 ""TC_Grp_3_f_18"" 18 ""0"" 511 164 ""1"" 506 181 17.7200451466693 0 1"
"31354 ""TC_Grp_3_f_18"" 18 ""0"" 707 188 ""2"" 687 35 154.301652615907 0 1"
"31372 ""TC_Grp_3_f_18"" 18 ""0"" 719 82 ""1"" 716 92 10.4403065089106 0 1"
"31481 ""TC_Grp_3_f_18"" 18 ""0"" 737 55 ""2"" 734 66 11.4017542509914 0 1"
"31605 ""TC_Grp_3_f_18"" 18 ""0"" 452 47 ""2"" 445 32 16.5529453572468 0 1"
"31650 ""TC_Grp_3_f_18"" 18 ""0"" 328 168 ""1"" 328 157 11 0 1"
"31653 ""TC_Grp_3_f_18"" 18 ""0"" 325 194 ""1"" 324 191 3.16227766016838 0 1"
"31676 ""TC_Grp_3_f_18"" 18 ""0"" 291 201 ""2"" 287 208 8.06225774829855 0 1"
"31747 ""TC_Grp_3_f_18"" 18 ""0"" 285 202 ""2"" 273 200 12.1655250605964 1 1"
"31835 ""TC_Grp_3_f_18"" 18 ""0"" 309 205 ""2"" 316 205 7 0 1"
"31884 ""TC_Grp_3_f_18"" 18 ""0"" 313 209 ""1"" 318 205 6.40312423743285 0 1"
"31892 ""TC_Grp_3_f_18"" 18 ""0"" 318 205 ""1"" 322 201 5.65685424949238 0 1"
"31906 ""TC_Grp_3_f_18"" 18 ""0"" 318 205 ""2"" 311 205 7 0 1"
"31942 ""TC_Grp_3_f_18"" 18 ""0"" 311 205 ""1"" 318 205 7 0 1"
"31959 ""TC_Grp_3_f_18"" 18 ""0"" 311 205 ""1"" 318 205 7 0 1"
"31991 ""TC_Grp_3_f_18"" 18 ""0"" 311 205 ""1"" 319 205 8 0 1"
"32009 ""TC_Grp_3_f_18"" 18 ""0"" 312 205 ""1"" 319 205 7 0 1"
"32013 ""TC_Grp_3_f_18"" 18 ""0"" 312 205 ""1"" 319 205 7 0 1"
"32017 ""TC_Grp_3_f_18"" 18 ""0"" 312 205 ""1"" 319 205 7 0 1"
"32078 ""TC_Grp_3_f_18"" 18 ""0"" 312 205 ""1"" 319 205 7 0 1"
"32104 ""TC_Grp_3_f_18"" 18 ""0"" 345 216 ""1"" 345 217 1 0 1"
"32440 ""TC_Grp_3_f_18"" 18 ""0"" 228 207 ""2"" 226 209 2.82842712474619 0 1"
"32508 ""TC_Grp_3_f_18"" 19 ""0"" 440 44 ""1"" 445 32 13 0 1"
"32513 ""TC_Grp_3_f_18"" 19 ""0"" 81 200 ""2"" 427 106 358.541489928293 0 1"
"32630 ""TC_Grp_3_f_18"" 19 ""0"" 519 71 ""1"" 508 60 15.556349186104 0 1"
"32719 ""TC_Grp_3_f_18"" 19 ""0"" 555 61 ""2"" 462 141 122.674365700418 0 1"
"32754 ""TC_Grp_3_f_18"" 19 ""0"" 704 126 ""2"" 701 128 3.60555127546399 0 1"
"32768 ""TC_Grp_3_f_18"" 19 ""0"" 668 69 ""2"" 664 82 13.6014705087354 0 1"
"32770 ""TC_Grp_3_f_18"" 19 ""0"" 683 44 ""2"" 676 56 13.8924439894498 0 1"
"32775 ""TC_Grp_3_f_18"" 19 ""0"" 340 57 ""1"" 344 63 7.21110255092798 0 1"
"32780 ""TC_Grp_3_f_18"" 19 ""0"" 709 44 ""2"" 714 39 7.07106781186548 0 1"
