"video","phase","phase_type","pole_location","safe_location","start_position","time_to_start_moving","time_in_pole_initial","time_in_safe_initial","time_in_safe_total","time_outside_safe_after_reaching","time_to_safe","start_in_pole","first_to_safe","first_to_closest","dist_to_safe","speed_to_safe","previously_safe_first","dead_fly"
"NT_OR_1",14,"trial","M","right","pole",0.93,0.97,59.03,59.03,0,0.97,1,1,1,11.3975711685247,0.113808792123466,0,0
"NT_OR_1",16,"trial","M","left","pole",1.33,1.43,57,57,0,3,1,0,1,5.87499849788488,0.0189028265697712,1,0
"NT_OR_1",18,"trial","M","right","pole",1.43,2.7,55.4,55.4,0,4.6,1,0,0,24.9133867825838,0.0522775448686079,1,0
"NT_OR_1",20,"trial","M","left","pole",1.2,1.33,58.67,58.67,0,1.33,1,1,1,3.18505793441952,0.0230578518418402,0,0
"NT_OR_1",22,"trial","M","right","pole",1.4,1.47,58.53,58.53,0,1.47,1,1,1,2.38298915014539,0.0156830630274574,0,0
"NT_OR_1",24,"trial","M","right","pole",1.07,1.6,51.87,51.87,0,8.13,1,0,0,18.687087781854,0.0221775362940542,0,0
"NT_OR_1",26,"trial","M","left","pole",0.8,1.23,58.77,58.77,0,1.23,1,1,0,4.31627080767446,0.0337806856491271,0,0
"NT_OR_1",28,"trial","M","left","pole",1.3,2.77,52.17,52.17,0,7.83,1,0,0,10.1731268140405,0.0125356857151572,0,0
"NT_OR_1",30,"trial","M","right","pole",3.5,2.67,57.33,57.33,0,2.67,1,1,1,3.63138103508709,0.0131444776849195,0,0
"NT_OR_1",32,"trial","M","right","pole",1.07,2.97,57.03,57.03,0,2.97,1,1,0,10.7679160733839,0.0350350833154219,1,0
"NT_OR_1",34,"trial","M","left","pole",0.97,1.17,58.83,58.83,0,1.17,1,1,1,1.91088199527442,0.0158098344893085,0,0
"NT_OR_1",36,"trial","M","left","pole",1.07,1.33,55.97,55.97,0,4.03,1,0,1,7.03394210411419,0.0168335191872288,0,0
"NT_OR_1",38,"trial","M","left","pole",0.53,0.87,59.13,59.13,0,0.87,1,1,1,6.00889115426813,0.0669240921547534,1,0
"NT_OR_1",40,"trial","M","right","pole",1.87,3.63,54.63,54.63,0,5.37,1,0,1,13.7733863862706,0.0247728717468115,1,0
"NT_OR_1",42,"trial","M","right","pole",1.17,1.47,54.93,54.93,0,5.07,1,0,1,23.3187867678025,0.0444246344133607,0,0
"NT_OR_1",44,"trial","M","right","pole",1.2,3.23,55.4,55.4,0,4.6,1,0,1,7.97549991498141,0.0167355630245539,0,0
"NT_OR_1",46,"trial","M","left","pole",1,1.7,54.67,54.67,0,5.33,1,0,1,7.87286513427689,0.014248670006534,1,0
"NT_OR_1",48,"trial","M","right","pole",1.37,5.43,54.57,54.57,0,5.43,1,1,0,5.89544541460208,0.010473468178581,0,0
"NT_OR_1",50,"trial","M","right","pole",1.7,2.07,57.97,57.97,0,2.07,1,1,1,4.02793895307653,0.0188127675601407,1,0
"NT_OR_1",52,"trial","M","left","pole",1.43,1.87,58.13,58.13,0,1.87,1,1,1,2.65839871811948,0.0137465460465362,0,0
"NT_OR_1",54,"trial","M","right","pole",1.4,1.7,58.3,58.3,0,1.7,1,1,1,11.749631443087,0.0667137828928399,0,0
