"","mother_id","unique_m","unique_mm","Speed_m","Speed_mm","Temp_m","Temp_mm","Condition_m","Condition_mm","Sex_m","Sex_mm","mom_c"
"1419","H89","H89_4HHmales","H89_2HCmales",0.57725537,0.085258126,42,42,"HH","HC","M","M","H"
"1420","H94","H94_3HHmales","H94_2HCmales",1.350809281,0.009452412,42,42,"HH","HC","M","M","H"
"1421","H97","H97_9HHmales","H97_2HCmales",0.322067488,0.015643857,42,42,"HH","HC","M","M","H"
"1422","C10","C10_2CCmales","C10_2CHmales",0.01449651,0.053803711,44,44,"CC","CH","M","M","C"
"1423","C111","C111_2CCmales","C111_1CHmales",0.012379042,0.013731761,44,44,"CC","CH","M","M","C"
"1424","C112","C112_2CCmales","C112_6CHmales",0.01497891,0.063864807,44,44,"CC","CH","M","M","C"
"1425","C126","C126_2CCmales","C126_2CHmales",0.005046544,0.037966243,44,44,"CC","CH","M","M","C"
"1426","C132","C132_2CCmales","C132_2CHmales",0.008795635,0.005282629,44,44,"CC","CH","M","M","C"
"1427","C134","C134_2CCmales","C134_2CHmales",0,0.059363654,44,44,"CC","CH","M","M","C"
"1428","C14","C14_2CCmales","C14_2CHmales",0.002770535,0.062408223,44,44,"CC","CH","M","M","C"
"1429","C145","C145_2CCmales","C145_1CHmales",0.009913368,0.015874536,44,44,"CC","CH","M","M","C"
"1430","C149","C149_2CCmales","C149_8CHmales",0.006419871,0.029891112,44,44,"CC","CH","M","M","C"
"1431","C151","C151_2CCmales","C151_2CHmales",0.017261789,0.053254035,44,44,"CC","CH","M","M","C"
"1432","C153","C153_2CCmales","C153_2CHmales",0.002471036,0.012670019,44,44,"CC","CH","M","M","C"
"1433","C156","C156_2CCmales","C156_2CHmales",0.034014419,0.032792738,44,44,"CC","CH","M","M","C"
"1434","C16","C16_2CCmales","C16_1CHmales",0.001954586,0.001628821,44,44,"CC","CH","M","M","C"
"1435","C165","C165_2CCmales","C165_2CHmales",0.009160921,0.00336543,44,44,"CC","CH","M","M","C"
"1436","C179","C179_2CCmales","C179_1CHmales",0.014993481,0.036471393,44,44,"CC","CH","M","M","C"
"1437","C182","C182_2CCmales","C182_8CHmales",0.02094719,0.035563428,44,44,"CC","CH","M","M","C"
"1438","C184","C184_2CCmales","C184_2CHmales",0.009447164,0.030378622,44,44,"CC","CH","M","M","C"
"1439","C199",NA,"C199_2CHmales",NA,0.026825472,NA,44,NA,"CH",NA,"M","C"
"1440","C21","C21_2CCmales","C21_1CHmales",0.027705346,0.033667685,44,44,"CC","CH","M","M","C"
"1441","C32","C32_2CCmales","C32_5CHmales",0.021053486,0.004723582,44,44,"CC","CH","M","M","C"
"1442","C44","C44_2CCmales","C44_9CHmales",0.01221616,0.018297619,44,44,"CC","CH","M","M","C"
"1443","C51",NA,"C51_2CHmales",NA,0.042115703,NA,44,NA,"CH",NA,"M","C"
"1444","C71","C71_2CCmales","C71_2CHmales",0,0.022450264,44,44,"CC","CH","M","M","C"
"1445","C76","C76_2CCmales","C76_6CHmales",0.008216136,0.041842557,44,44,"CC","CH","M","M","C"
"1446","C85","C85_2CCmales","C85_2CHmales",0.000651529,0.043211272,44,44,"CC","CH","M","M","C"
"1447","C93","C93_2CCmales","C93_1CHmales",0.008795635,0.009126467,44,44,"CC","CH","M","M","C"
"1448","H105","H105_9HHmales","H105_2HCmales",0.05403474,0.037406998,44,44,"HH","HC","M","M","H"
"1449","H124","H124_1HHmales","H124_2HCmales",0.088842657,0.012379042,44,44,"HH","HC","M","M","H"
"1450","H129","H129_2HHmales","H129_2HCmales",0.063144184,0,44,44,"HH","HC","M","M","H"
"1451","H13","H13_1HHmales","H13_2HCmales",0.056720251,0.002022054,44,44,"HH","HC","M","M","H"
"1452","H132","H132_2HHmales","H132_2HCmales",0.024926205,0.003909171,44,44,"HH","HC","M","M","H"
"1453","H134","H134_5HHmales","H134_2HCmales",0.061916113,0.002931878,44,44,"HH","HC","M","M","H"
"1454","H155","H155_7HHmales","H155_2HCmales",0.028955811,0.000515079,44,44,"HH","HC","M","M","H"
"1455","H161","H161_5HHmales","H161_2HCmales",0.018386973,0.002931878,44,44,"HH","HC","M","M","H"
"1456","H166","H166_2HHmales","H166_2HCmales",0.027139555,0.021484424,44,44,"HH","HC","M","M","H"
"1457","H180","H180_2HHmales","H180_2HCmales",0.029386035,0.011741238,44,44,"HH","HC","M","M","H"
"1458","H190",NA,"H190_2HCmales",NA,0.001475772,NA,44,NA,"HC",NA,"M","H"
"1459","H25","H25_1HHmales","H25_2HCmales",0.015592779,0,44,44,"HH","HC","M","M","H"
"1460","H32","H32_5HHmales","H32_2HCmales",0.043074128,0.003976639,44,44,"HH","HC","M","M","H"
"1461","H42","H42_2HHmales","H42_2HCmales",0.016695355,0.001791703,44,44,"HH","HC","M","M","H"
"1462","H50","H50_5HHmales","H50_2HCmales",0.020975672,0,44,44,"HH","HC","M","M","H"
"1463","H51","H51_6HHmales","H51_2HCmales",0.012206567,0.01554127,44,44,"HH","HC","M","M","H"
"1464","H55","H55_4HHmales","H55_2HCmales",0.035157542,0.026224023,44,44,"HH","HC","M","M","H"
"1465","H83","H83_2HHmales","H83_2HCmales",0.020179425,0.009649568,44,44,"HH","HC","M","M","H"
"1466","H86","H86_3HHmales","H86_2HCmales",0.010147382,0.001140808,44,44,"HH","HC","M","M","H"
"1467","H87","H87_5HHmales",NA,0.010562942,NA,44,NA,"HH",NA,"M",NA,"H"
"1468","H89","H89_4HHmales","H89_2HCmales",0.010267275,0.017831521,44,44,"HH","HC","M","M","H"
"1469","H94","H94_3HHmales","H94_2HCmales",1.37608306,0,44,44,"HH","HC","M","M","H"
"1470","H97","H97_9HHmales","H97_2HCmales",0.036682625,0.004628168,44,44,"HH","HC","M","M","H"
