,Var1,egg_f1_m,egg_f1_mm,adult_f1_m,adult_f1_mm,F1 survival m,F1 survival mm,egg_f2_m,egg_f2_mm,adult_f2_m,adult_f2_mm,F2 survival m,F2 survival mm,climb_m,climb_mm,wsurv_m,wmulti_m,wsurv_mm,wmulti_mm,Cat_m,Cat_mm,mom_c,time_m,time_mm,missing
111,C152,3,3,3,3,1,1,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,1,0,1,0,CC,CH,C,NA,NA,0
112,C153,12,12,11,12,0.916666667,1,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,1,0,1,0,CC,CH,C,NA,NA,0
113,C155,7,7,6,2,0.857142857,0.285714286,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,1,0,1,0,CC,CH,C,NA,NA,0
114,C156,9,9,7,9,0.777777778,1,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,1,0,1,0,CC,CH,C,NA,NA,0
115,C157,6,5,6,5,1,1,78,NA,43,NA,0.551282051,#VALUE!,3.38,NA,0.333333333,1,1,0,CC,CH,C,0,NA,0
116,C158,3,4,2,4,0.666666667,1,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,1,0,1,0,CC,CH,C,NA,NA,0
117,C159,7,8,5,7,0.714285714,0.875,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,1,0,1,0,CC,CH,C,NA,NA,0
118,C162,14,15,9,4,0.642857143,0.266666667,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,1,0,1,0,CC,CH,C,NA,NA,0
119,C164,12,13,9,2,0.75,0.153846154,85,NA,66,NA,0.776470588,#VALUE!,3.26,NA,0.333333333,1,1,0,CC,CH,C,20,NA,0
120,C165,8,8,7,8,0.875,1,NA,167,NA,140,#VALUE!,0.838323353,NA,3.433333333,1,0,1,1,CC,CH,C,NA,11,0
121,C167,5,5,5,5,1,1,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,1,0,1,0,CC,CH,C,NA,NA,0
122,C168,7,7,7,6,1,0.857142857,NA,186,NA,107,#VALUE!,0.575268817,NA,3.18,1,0,0.5,1,CC,CH,C,NA,42,0
123,C169,6,6,4,6,0.666666667,1,NA,142,NA,128,#VALUE!,0.901408451,NA,3.566666667,1,0,0.5,1,CC,CH,C,NA,22,0
124,C170,4,5,4,5,1,1,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,1,0,1,0,CC,CH,C,NA,NA,0
125,C171,3,4,1,0,0.333333333,0,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,1,0,1,0,CC,CH,C,NA,NA,0
126,C174,5,4,0,1,0,0.25,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,1,0,1,0,CC,CH,C,NA,NA,0
127,C175,4,4,3,4,0.75,1,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,1,0,1,0,CC,CH,C,NA,NA,0
128,C176,10,10,6,8,0.6,0.8,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,1,0,1,0,CC,CH,C,NA,NA,0
129,C177,6,7,6,7,1,1,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,1,0,1,0,CC,CH,C,NA,NA,0
130,C178,7,6,7,5,1,0.833333333,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,1,0,1,0,CC,CH,C,NA,NA,0
131,C179,9,10,7,10,0.777777778,1,109,181,83,118,0.76146789,0.651933702,2.746666667,4.38,1,1,1,1,CC,CH,C,44,11,0
132,C180,5,6,4,6,0.8,1,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,1,0,1,0,CC,CH,C,NA,NA,0
133,C181,15,14,14,14,0.933333333,1,NA,145,NA,90,#VALUE!,0.620689655,NA,3.32,1,0,0.5,1,CC,CH,C,NA,22,0
134,C182,11,10,9,10,0.818181818,1,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,1,0,1,0,CC,CH,C,NA,NA,0
135,C183,11,11,10,9,0.909090909,0.818181818,NA,149,NA,114,#VALUE!,0.765100671,NA,1.986666667,1,0,0.5,1,CC,CH,C,NA,0,0
136,C184,6,7,6,6,1,0.857142857,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,1,0,1,0,CC,CH,C,NA,NA,0
137,C185,15,15,10,9,0.666666667,0.6,85,154,3,106,0.035294118,0.688311688,2.74,2.06,0.5,1,0.333333333,1,CC,CH,C,9,48,0
138,C188,4,4,4,4,1,1,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,1,0,1,0,CC,CH,C,NA,NA,0
139,C189,6,7,6,6,1,0.857142857,NA,133,NA,82,#VALUE!,0.616541353,NA,2.886666667,1,0,0.5,1,CC,CH,C,NA,40,0
140,C190,6,6,5,6,0.833333333,1,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,1,0,1,0,CC,CH,C,NA,NA,0
141,C191,7,6,2,5,0.285714286,0.833333333,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,1,0,1,0,CC,CH,C,NA,NA,0
142,C193,5,5,4,5,0.8,1,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,1,0,1,0,CC,CH,C,NA,NA,0
143,C194,6,9,6,5,1,0.555555556,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,1,0,1,0,CC,CH,C,NA,NA,0
144,C195,7,6,3,4,0.428571429,0.666666667,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,1,0,1,0,CC,CH,C,NA,NA,0
145,C197,5,4,4,0,0.8,0,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,1,0,1,0,CC,CH,C,NA,NA,0
146,C199,NA,9,NA,6,#VALUE!,0.666666667,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,NA,NA,1,0,NA,CH,C,NA,NA,0
147,C200,5,4,3,2,0.6,0.5,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,1,0,1,0,CC,CH,C,NA,NA,0
148,C201,8,8,8,8,1,1,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,1,0,1,0,CC,CH,C,NA,NA,0
149,C202,10,9,10,9,1,1,99,168,80,120,0.808080808,0.714285714,3.06,2.513333333,1,1,0.333333333,1,CC,CH,C,20,11,0
150,H002,8,8,8,8,1,1,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,1,0,1,0,HH,HC,H,NA,NA,0
151,H003,10,10,10,10,1,1,209,NA,170,NA,0.813397129,#VALUE!,2.990833333,NA,0.25,1,1,0,HH,HC,H,0,NA,0
152,H004,11,11,11,9,1,0.818181818,159,NA,92,NA,0.578616352,#VALUE!,2.9435,NA,1,1,1,0,HH,HC,H,15,NA,0
153,H005,9,10,2,3,0.222222222,0.3,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,1,0,1,0,HH,HC,H,NA,NA,0
154,H006,15,15,13,15,0.866666667,1,151,NA,77,NA,0.509933775,#VALUE!,2.611666667,NA,1,1,1,0,HH,HC,H,18,NA,0
155,H007,12,12,0,0,0,0,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,1,0,1,0,HH,HC,H,NA,NA,0
156,H009,8,8,1,1,0.125,0.125,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,1,0,1,0,HH,HC,H,NA,NA,0
157,H010,8,10,8,9,1,0.9,94,NA,6,NA,0.063829787,#VALUE!,3.019833333,NA,1,1,1,0,HH,HC,H,0,NA,0
158,H011,8,7,6,7,0.75,1,102,NA,0,NA,0,#VALUE!,3.0025,NA,0.5,1,1,0,HH,HC,H,18,NA,0
159,H012,10,10,8,10,0.8,1,167,78,84,47,0.502994012,0.602564103,2.8285,2.886666667,1,1,0.5,1,HH,HC,H,28,0,0
160,H013,10,10,10,8,1,0.8,152,NA,132,NA,0.868421053,#VALUE!,2.630833333,NA,0.5,1,1,0,HH,HC,H,0,NA,0
161,H014,6,5,0,1,0,0.2,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,1,0,1,0,HH,HC,H,NA,NA,0
162,H015,10,8,7,8,0.7,1,NA,43,NA,28,#VALUE!,0.651162791,NA,3.66,1,0,1,1,HH,HC,H,NA,18,0
163,H016,8,8,7,7,0.875,0.875,105,NA,54,NA,0.514285714,#VALUE!,2.444833333,NA,1,1,1,0,HH,HC,H,7,NA,0
164,H017,13,14,6,7,0.461538462,0.5,137,NA,54,NA,0.394160584,#VALUE!,2.8565,NA,1,1,1,0,HH,HC,H,18,NA,0
165,H018,15,15,14,14,0.933333333,0.933333333,162,NA,133,NA,0.820987654,#VALUE!,2.660333333,NA,0.5,1,1,0,HH,HC,H,0,NA,0
166,H019,8,8,4,6,0.5,0.75,125,NA,88,NA,0.704,#VALUE!,3.218666667,NA,1,1,1,0,HH,HC,H,18,NA,0
167,H020,7,7,1,2,0.142857143,0.285714286,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,1,0,1,0,HH,HC,H,NA,NA,0
168,H022,10,9,0,1,0,0.111111111,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,1,0,1,0,HH,HC,H,NA,NA,0
169,H023,15,16,14,16,0.933333333,1,110,115,9,83,0.081818182,0.72173913,2.1665,2.246666667,1,1,1,1,HH,HC,H,28,18,0
170,H024,6,7,5,4,0.833333333,0.571428571,170,NA,121,NA,0.711764706,#VALUE!,1.755666667,NA,1,1,1,0,HH,HC,H,0,NA,0
171,H025,13,13,8,10,0.615384615,0.769230769,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,1,0,1,0,HH,HC,H,NA,NA,0
172,H027,2,2,1,2,0.5,1,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,1,0,1,0,HH,HC,H,NA,NA,0
