"video","phase","encounters_num","encounters_mean_length","encounters_median_length","encounters_min_length","encounters_max_length","encounters_var_length","encounters_sd_length","encounters_ci_mean_length","encounters_ci_lower_length","encounters_ci_upper_length","encounters_ci_stderror_length","dist_mean","dist_median","dist_min","dist_max","dist_var","dist_sd","dist_ci_mean","dist_ci_lower","dist_ci_upper","dist_ci_stderror","shortest_dist_mean","shortest_dist_median","shortest_dist_min","shortest_dist_max","shortest_dist_var","shortest_dist_sd","shortest_dist_ci_mean","shortest_dist_ci_lower","shortest_dist_ci_upper","shortest_dist_ci_stderror","longest_dist_mean","longest_dist_median","longest_dist_min","longest_dist_max","longest_dist_var","longest_dist_sd","longest_dist_ci_mean","longest_dist_ci_lower","longest_dist_ci_upper","longest_dist_ci_stderror","frames_moving_mean","frames_moving_median","frames_moving_min","frames_moving_max","frames_moving_var","frames_moving_sd","frames_moving_ci_mean","frames_moving_ci_lower","frames_moving_ci_upper","frames_moving_ci_stderror"
"TC_Grp_3_f_20",14,10,32.1,27,16,66,356.322222222222,18.8764992046254,32.1,18.5965659334215,45.6034340665785,5.9692731736973,181.904667412659,116.43645981659,20,663.162875921142,23865.7701845859,154.485501535212,181.904667412659,177.750899347072,186.058435478246,2.11882574385945,20.0623058987491,20.0623058987491,20,20.1246117974981,0.00776405003785477,0.0881138470267572,20.0623058987491,19.2706343929722,20.8539774045259,0.0623058987490541,636.719111806329,636.719111806329,610.275347691515,663.162875921142,1398.54532111977,37.3971298513639,636.719111806329,300.719230968402,972.718992644256,26.4437641148133,419,317,291,649,39844,199.6096190067,419,-76.8577822026593,914.857782202659,115.244667266357
"TC_Grp_3_f_20",15,8,18.125,14.5,10,40,101.553571428571,10.0773791944419,18.125,9.70010015825057,26.5498998417494,3.56289158248906,257.985767686288,218.634398025562,20,742.214254780922,33845.3175835607,183.970969404308,257.985767686288,252.984788353815,262.986747018762,2.55097304662947,20.1980390271856,20.1980390271856,20,20.3960780543711,0.0784389125772131,0.280069478125006,20.1980390271856,17.6817146020129,22.7143634523583,0.198039027185569,719.654469942373,719.654469942373,697.094685103824,742.214254780922,1017.88778392325,31.904353682895,719.654469942373,433.00522497972,1006.30371490503,22.559784838549,889.333333333333,855,783,1030,16136.3333333333,127.028868110101,889.333333333333,573.776131580074,1204.89053508659,73.3401511982201
"TC_Grp_3_f_20",16,6,12.6666666666667,13,10,15,2.66666666666667,1.63299316185545,12.6666666666667,10.9529454429091,14.3803878904242,0.666666666666667,292.159785212928,273.566261427079,20,735.785974315901,32838.3892832111,181.213656447882,292.159785212928,287.123567452062,297.196002973794,2.56892093289921,20.1118742080783,20.1118742080783,20,20.2237484161567,0.0250316768663125,0.158214022344141,20.1118742080783,18.6903776155375,21.5333708006192,0.111874208078342,726.772493399252,726.772493399252,717.759012482602,735.785974315901,162.485676469613,12.7469869565169,726.772493399252,612.245359486698,841.299627311805,9.0134809166496,1139.33333333333,1135,1022,1261,14294.3333333333,119.558911559671,1139.33333333333,842.332532352131,1436.33413431454,69.027369772995
"TC_Grp_3_f_20",17,20,16.15,13.5,10,43,64.028947368421,8.0018090059949,16.15,12.4050381077737,19.8949618922263,1.78925888803746,222.230917113781,176.819116613561,20,729.792436244717,30751.6429672221,175.361463746235,222.230917113781,217.360767171559,227.101067056003,2.48421236029005,20.4403065089106,20.4403065089106,20,20.8806130178211,0.387739643577994,0.622687436502451,20.4403065089106,14.8456818600228,26.0349311577983,0.440306508910551,728.135120223992,728.135120223992,726.477804203267,729.792436244717,5.49339278510598,2.34379879364803,728.135120223992,707.076923552113,749.193316895871,1.65731602072537,1047.66666666667,1039,1033,1071,417.333333333333,20.4287379280594,1047.66666666667,996.91886837611,1098.41446495722,11.7945373419694
"TC_Grp_3_f_20",18,10,16.8,17,10,36,58.1777777777778,7.62743585864724,16.8,11.3436610836684,22.2563389163316,2.41200700201674,213.308814055943,171.011695506477,20,733.845351555762,24641.0814318748,156.974779604479,213.308814055943,208.93522760733,217.682400504555,2.23091703032127,20.0623058987491,20.0623058987491,20,20.1246117974981,0.00776405003785477,0.0881138470267572,20.0623058987491,19.2706343929722,20.8539774045259,0.0623058987490541,701.613951433522,701.613951433522,669.382551311281,733.845351555762,2077.72630767992,45.5820831871462,701.613951433522,292.075182546769,1111.15272032027,32.2314001222404,1001.33333333333,1004,984,1016,261.333333333333,16.1658075373095,1001.33333333333,961.175241189005,1041.49142547766,9.33333333333333
"TC_Grp_3_f_20",19,6,16.3333333333333,14.5,12,28,36.2666666666667,6.02218122167265,16.3333333333333,10.0134417293977,22.6532249372689,2.45854518861144,248.348081176533,223.293528791141,20,656.655922077917,22774.2245568764,150.91131354831,248.348081176533,244.210611410136,252.48555094293,2.11049293615886,20.0623058987491,20.0623058987491,20,20.1246117974981,0.00776405003785477,0.0881138470267572,20.0623058987491,19.2706343929722,20.8539774045259,0.0623058987490541,649.739301846965,649.739301846965,642.822681616011,656.655922077917,95.6792708384571,9.78157813639788,649.739301846965,561.855309110108,737.623294583821,6.91662023095301,757.666666666667,755,734,784,630.333333333333,25.1064400768674,757.666666666667,695.29881206392,820.034521269413,14.4952099367726
"TC_Grp_3_f_20",20,3,26.6666666666667,22,21,37,80.3333333333333,8.9628864398325,26.6666666666667,4.40162245534309,48.9317108779902,5.17472489875334,253.045916869499,236.845941489399,20,532.589898514795,13146.6888408088,114.659011162703,253.045916869499,249.899280631763,256.192553107236,1.60507528629148,20,20,20,20,0,0,20,20,20,0,474.729591291777,474.729591291777,416.869284068759,532.589898514795,6695.63030388405,81.826831197866,474.729591291777,-260.455318381856,1209.91450096541,57.860307223018,275,325,146,354,12691,112.654338576018,275,-4.8488908489752,554.848890848975,65.041012702243
"TC_Grp_3_f_20",21,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,327.83220300425,349.905701582584,204.599608992784,442.764045514086,8962.91989533501,94.6726987855264,327.83220300425,325.303739764675,330.360666243826,1.28976611826224,253.485948041361,253.485948041361,204.599608992784,302.372287089938,4779.74829114489,69.1357236972673,253.485948041361,-367.673884711913,874.645780794635,48.8863390485772,324.640194346511,324.640194346511,206.516343178936,442.764045514086,27906.488429319,167.052352360926,324.640194346511,-1176.26564281413,1825.54603150715,118.123851167575,2,0,0,6,12,3.46410161513775,2,-6.60530545949892,10.6053054594989,2
"TC_Grp_3_f_20",22,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,333.312952300307,354.864762973164,202.385770250776,442.820505396938,9702.17573160391,98.4996230023441,333.312952300307,330.683014192624,335.94289040799,1.34152849667908,276.578175272538,276.578175272538,202.385770250776,350.7705802943,11009.0259258263,104.923905406853,276.578175272538,-666.125712803164,1219.28206334824,74.1924050217619,324.668424287937,324.668424287937,206.516343178936,442.820505396938,27919.8285407761,167.092275526956,324.668424287937,-1176.59610828815,1825.93295686403,118.152081109001,0,0,0,0,0,0,0,0,0,0
"TC_Grp_3_f_20",23,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,334.221327106913,355.984550226551,203.334699448963,442.820505396938,9703.84989319968,98.5081209505068,334.221327106913,331.592625182261,336.850029031566,1.34089825597938,279.163828562795,279.163828562795,203.334699448963,354.992957676628,11500.1136443246,107.238582815722,279.163828562795,-684.336610923386,1242.66426804898,75.8291291138325,324.0272590863,324.0272590863,205.234012775661,442.820505396938,28223.6707380403,167.999020050833,324.0272590863,-1185.38404981151,1833.43856798411,118.793246310639,0,0,0,0,0,0,0,0,0,0
