"video","phase","seconds_moving","speed_mean","speed_median","speed_min","speed_max","speed_var","speed_sd","speed_ci_mean","speed_ci_lower","speed_ci_upper","speed_ci_stderror","num_bouts","mean_bout_time","min_bout_time","max_bout_time","mean_bout_speed","min_bout_speed","max_bout_speed","border_total","border_bottom","border_left","border_right","border_top"
"TCD_1_1_m_12",15,16.8333333333333,0.423185383008927,0,0,2.90402393838021,0.499774987443538,0.706947655377354,0.423185383008927,0.390330585235157,0.456040180782696,0.0167515616013202,12,0.904830917874396,0.5,1.56666666666667,1.47938796188981,0.586701434159061,2.93350717079531,9.43333333333333,6.23333333333333,0.366666666666667,NA,2.83333333333333
"TCD_1_1_m_12",16,16.6,0.396199543487388,0,0,2.88916949857122,0.425711272534025,0.652465533598538,0.396199543487388,0.365816908670817,0.426582178303959,0.0154910468475118,12,0.765343915343915,0.5,1.13333333333333,1.4958337762571,0.586701434159061,2.93350717079531,8.86666666666667,7.3,NA,0.0333333333333333,1.53333333333333
"TCD_1_1_m_12",17,12.6,0.339926347918159,0,0,2.88916949857122,0.427918413738935,0.654154732260599,0.339926347918159,0.309396042498805,0.370456653337513,0.0155662907448495,7,0.662469135802469,0.5,0.866666666666667,1.81953458180457,0.586701434159061,2.93350717079531,5.33333333333333,2.66666666666667,NA,NA,2.66666666666667
"TCD_1_1_m_12",18,31.2333333333333,0.996625868583747,0.82972112525149,0,2.90402393838021,0.928147666421661,0.963404207184949,0.996625868583747,0.950316856108056,1.04293488105944,0.0236102953369688,12,1.69254287844892,0.533333333333333,2.66666666666667,1.80795787687267,0.586701434159061,2.93350717079531,15.8,10.3666666666667,1.4,1.1,2.93333333333333
"TCD_1_1_m_12",19,19.3,0.648391189198666,0,0,2.90402393838021,0.898101912447799,0.947682390069478,0.648391189198666,0.603283360689457,0.693499017707874,0.0229982064191304,10,1.08778220451527,0.5,2.16666666666667,1.89117820805034,0.586701434159061,2.90402393838021,18.7666666666667,10.8666666666667,0.1,4.13333333333333,3.66666666666667
"TCD_1_1_m_12",20,16.5333333333333,0.476571651275015,0,0,2.90402393838021,0.630742125055037,0.794192750568171,0.476571651275015,0.439368204060223,0.513775098489806,0.0189685861100924,13,0.687644787644788,0.5,0.9,1.57742356165449,0.586701434159061,2.93350717079531,12.9,6.43333333333333,0.833333333333333,NA,5.63333333333333
"TCD_1_1_m_12",21,3.86666666666667,0.115845520999746,0,0,2.76746513000357,0.148182479375609,0.384944774449023,0.115845520999746,0.0980305018863709,0.133660540113121,0.00908333355257843,3,0.896396396396396,0.5,1.1,1.62286108283981,0.586701434159061,2.65640372370394,55.8666666666667,1.53333333333333,NA,NA,54.3333333333333
"TCD_1_1_m_12",22,0,0.00390917113265338,0,0,0.293350717079531,0.00113210513408166,0.0336467700393612,0.00390917113265338,0.00235418421417103,0.00546415805113573,0.000792841772082516,0,0,0,0,0,0,0,60.0333333333333,NA,NA,NA,60.0333333333333
"TCD_1_1_m_12",23,0.0333333333333333,0.00612867524046023,0,0,1.05769105212438,0.00221064982910228,0.0470175480975165,0.00612867524046023,0.00395515292387589,0.00830219755704458,0.00110821423648396,0,0,0,0,0,0,0,60,NA,NA,NA,60
"TCD_1_1_m_13",1,25.8333333333333,0.593524897810151,0.293350717079531,0,2.90402393838021,0.442656463845239,0.665324329816098,0.593524897810151,0.562647879892778,0.624401915727523,0.0157431878626625,16,1.47452071737786,0.533333333333333,2.66666666666667,1.38754439561357,0.586701434159061,2.90402393838021,30.7333333333333,20.4333333333333,4.33333333333333,4.36666666666667,1.6
"TCD_1_1_m_13",2,7.36666666666667,0.183775968522145,0,0,2.78296925764492,0.199887151374703,0.447087409098828,0.183775968522145,0.163090790259176,0.204461146785113,0.0105467439102743,8,0.789015151515152,0.566666666666667,1.23333333333333,1.30577779893794,0.586701434159061,2.78296925764492,5.5,3.96666666666667,NA,1.53333333333333,NA
"TCD_1_1_m_13",3,0.0333333333333333,0.0190514170366056,0,0,0.82972112525149,0.00561618049883222,0.0749411802604698,0.0190514170366056,0.0155870439606325,0.0225157901125786,0.00176638055841009,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"TCD_1_1_m_13",4,0,0.0174101087230682,0,0,0.414860562625745,0.00486286830041586,0.0697342691968294,0.0174101087230682,0.0141864401894465,0.0206337772566898,0.00164365248767217,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"TCD_1_1_m_13",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"TCD_1_1_m_13",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"TCD_1_1_m_13",7,0,0.00828364196948276,0,0,0.414860562625745,0.00241874805073623,0.0491807691149318,0.00828364196948276,0.00601011849700437,0.0105571654419611,0.00115920184483794,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"TCD_1_1_m_13",8,0,0.00323149073089084,0,0,0.414860562625745,0.000994080572103123,0.0315290433109399,0.00323149073089084,0.00177396940045582,0.00468901206132585,0.000743146677649697,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"TCD_1_1_m_13",9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"TCD_1_1_m_13",10,0,0.00863275291794288,0,0,0.293350717079531,0.00245926533581552,0.0495909803877229,0.00863275291794288,0.00634090363530998,0.0109246022005758,0.00116854606620238,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"TCD_1_1_m_13",11,0,0.0127118644067797,0,0,0.293350717079531,0.0035694260569263,0.0597446738791526,0.0127118644067797,0.00994999384508932,0.01547373496847,0.00140819546799092,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"TCD_1_1_m_13",12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"TCD_1_1_m_13",13,0,0.000814863102998696,0,0,0.293350717079531,0.000238509178809042,0.0154437423835365,0.000814863102998696,0.000100931388555085,0.00152879481744231,0.000364012498876549,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
