"video","phase","phase_type","pole_location","safe_location","start_position","time_to_start_moving","time_in_pole_initial","time_in_safe_initial","time_in_safe_total","time_outside_safe_after_reaching","time_to_safe","start_in_pole","first_to_safe","first_to_closest","dist_to_safe","speed_to_safe","previously_safe_first","dead_fly"
"OT_CS_8",4,"trial","M","left","pole",4.73,6.7,7.23,35.8,17.5,6.7,1,1,1,55.8177867517924,0.0804151828960301,0,0
"OT_CS_8",6,"trial","M","right","pole",1.4,6,46.63,46.63,0,13.37,1,0,1,19.5753812609283,0.0141360266762594,1,0
"OT_CS_8",8,"trial","M","left","pole",1.57,8.9,36.87,43.8,7.33,8.9,1,1,1,44.7214833058472,0.0485027583465437,0,0
"OT_CS_8",10,"trial","M","right","pole",2.4,3.77,14.93,46.97,9.3,3.77,1,1,0,46.739188689223,0.11977446105483,0,0
"OT_CS_8",12,"trial","M","left","pole",1.33,4.7,8.53,45.87,4.13,10.03,1,0,0,35.6563598893418,0.0343029924922156,1,0
"OT_CS_8",14,"trial","M","left","pole",2.47,4.17,5.97,53,2.83,4.17,1,1,1,17.2039736335608,0.039854765174272,1,0
"OT_CS_8",16,"trial","M","right","pole",2.8,5.5,52.43,52.43,0,7.57,1,0,1,15.2022436145017,0.0193929255368432,1,0
"OT_CS_8",18,"trial","M","right","pole",2.23,7.57,52.43,52.43,0,7.57,1,1,0,15.79948458232,0.0201548031853112,1,0
"OT_CS_8",20,"trial","M","left","pole",2.63,2.63,34.83,56.8,0.57,2.63,1,1,1,24.0590769457075,0.0881887870059167,0,0
"OT_CS_8",22,"trial","M","left","pole",2.8,2.83,57.17,57.17,0,2.83,1,1,1,9.5533003736252,0.0325458790834381,1,0
"OT_CS_8",24,"trial","M","right","pole",3.37,4.8,53.6,53.6,0,6.4,1,0,1,13.3343186205904,0.0201108811242012,1,0
"OT_CS_8",26,"trial","M","left","pole",3.13,4.63,53,53,0,7,1,0,0,13.7769441664406,0.0189974409355221,1,0
"OT_CS_8",28,"trial","M","right","pole",2.43,4.57,27,54.6,0.83,4.57,1,1,1,24.8077169533341,0.0524357797114127,0,0
"OT_CS_8",30,"trial","M","right","pole",2.63,2.6,55.87,55.87,0,4.13,1,0,1,12.7556397077266,0.029788048887766,0,0
"OT_CS_8",32,"trial","M","left","pole",3.2,5.5,52.6,52.6,0,7.4,1,0,0,13.3141723872761,0.0173669158761297,1,0
"OT_CS_8",34,"trial","M","left","pole",3.13,3.63,54.73,54.73,0,5.27,1,0,1,9.36727307665165,0.0171679165424191,0,0
"OT_CS_8",36,"trial","M","left","pole",3.87,5.13,53.5,53.5,0,6.5,1,0,0,13.3190297043123,0.0197787788896827,0,0
"OT_CS_8",38,"trial","M","right","pole",2.63,2.7,57.3,57.3,0,2.7,1,1,1,6.70979534255643,0.0239875423371816,0,0
"OT_CS_8",40,"trial","M","right","pole",3.53,5.17,54.83,54.83,0,5.17,1,1,0,6.71871594236593,0.012552091061837,1,0
"OT_CS_8",42,"trial","M","left","pole",4.23,6.5,51.83,51.83,0,8.2,1,0,1,9.9950575706111,0.0117655353265504,1,0
"OT_CS_8",44,"trial","M","right","pole",3.97,4.9,0.03,55.1,0.03,4.9,1,1,0,8.45024281695108,0.0166461327258511,0,0
"OT_CS_8",46,"trial","M","right","pole",3.1,4.4,55.63,55.63,0,4.4,1,1,1,5.95045616843485,0.0130538262733302,1,0
